Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Arakawa Under the Bridge x Bridge,7.77,13,"Oct 4, 2010 to Dec 27, 2010","NIS America, Inc.",Shaft,9074,"['Comedy', 'Romance', 'Seinen']"
Detective Conan OVA 09: The Stranger in 10 Years...,7.95,1,"Jun 17, 2009",Manga,TMS Entertainment,6438,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']"
Sailor Moon Sailor Stars,7.92,34,"Mar 9, 1996 to Feb 8, 1997",Viz Media,Toei Animation,996,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']"
Wotakoi: Love is Hard for Otaku,7.98,11,"Apr 13, 2018 to Jun 22, 2018","None found, add some",A-1 Pictures,35968,"['Comedy', 'Romance', 'Slice of Life']"
Evangelion: 2.0 You Can (Not) Advance,8.36,1,"Jul 27, 2009",Original,Khara,3784,"['Action', 'Sci-Fi', 'Mecha']"
The Ideon: Be Invoked,7.80,1,"Jul 10, 1982",Original,Sunrise,2761,"['Sci-Fi', 'Space', 'Drama', 'Mecha']"
Kuroko's Basketball Specials,7.70,9,"Jul 27, 2012 to Mar 22, 2013",Unknown,Production I.G,15487,"['Comedy', 'School', 'Shounen', 'Sports']"
Liz and the Blue Bird,8.23,1,"Apr 21, 2018",Novel,Kyoto Animation,35677,"['Drama', 'Music', 'School']"
The Disastrous Life of Saiki K. 2,8.52,24,"Jan 17, 2018 to Jun 27, 2018","None found, add some",Egg Firm,34612,"['Slice of Life', 'Comedy', 'Supernatural', 'School', 'Shounen']"
Little Witch Academia: The Enchanted Parade,7.80,1,"Oct 9, 2015",Original,Trigger,19489,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']"
the Garden of sinners -recalled out summer-,8.04,1,"Sep 28, 2013",Light novel,ufotable,14807,"['Drama', 'Mystery', 'Seinen', 'Supernatural']"
Dorohedoro,8.14,12,"Jan 13, 2020 to Mar 30, 2020",Netflix,MAPPA,38668,"['Action', 'Comedy', 'Horror', 'Magic', 'Fantasy', 'Seinen']"
Sound! Euphonium: Our Promise: A Brand New Day,7.81,1,"Apr 19, 2019",Novel,Kyoto Animation,35678,"['Music', 'Drama', 'School']"
White Album 2,7.75,13,"Oct 6, 2013 to Dec 29, 2013","None found, add some",Satelight,18245,"['Drama', 'Music', 'Romance', 'Slice of Life']"
Cross Game,8.45,50,"Apr 5, 2009 to Mar 28, 2010","None found, add some",SynergySP,5941,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']"
Attack on Titan,8.44,25,"Apr 7, 2013 to Sep 29, 2013",Funimation,Wit Studio,16498,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
Black Lagoon: Roberta's Blood Trail,8.07,5,"Jun 27, 2010 to Jun 22, 2011",Manga,Madhouse,4901,"['Action', 'Seinen']"
Fullmetal Alchemist: Brotherhood OVA Collection,8.05,4,"Aug 26, 2009 to Aug 25, 2010",Manga,Bones,6421,"['Military', 'Adventure', 'Drama', 'Magic', 'Fantasy', 'Shounen']"
Magic Kaito,7.84,12,"Apr 17, 2010 to Dec 29, 2012",Manga,TMS Entertainment,8310,"['Adventure', 'Comedy', 'Romance', 'Shounen']"
Tokyo Ghoul,7.83,12,"Jul 4, 2014 to Sep 19, 2014",Funimation,Studio Pierrot,22319,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']"
You and Me 2,8.00,13,"Apr 3, 2012 to Jun 26, 2012","None found, add some",J.C.Staff,11739,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']"
Pandora Hearts,7.74,25,"Apr 3, 2009 to Sep 25, 2009","NIS America, Inc.",Xebec,5530,"['Adventure', 'Fantasy', 'Mystery', 'Shounen', 'Supernatural']"
Hidamari Sketch x ☆☆☆ Specials,7.84,2,"Oct 23, 2010 to Oct 30, 2010",4-koma manga,Shaft,9563,"['Slice of Life', 'Comedy', 'School', 'Seinen']"
Psycho-Pass: The Movie,7.76,1,"Jan 9, 2015",Original,Production I.G,21339,"['Action', 'Military', 'Police', 'Sci-Fi']"
Magi: Adventure of Sinbad,7.97,13,"Apr 16, 2016 to Jul 2, 2016","None found, add some",Lay-duce,31741,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']"
Tales of Saiunkoku,8.09,39,"Apr 7, 2007 to Mar 8, 2008","None found, add some",Madhouse,1914,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']"
Noragami Aragoto,8.26,13,"Oct 3, 2015 to Dec 26, 2015",Funimation,Bones,30503,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']"
The Labyrinth of Grisaia: The Cocoon of Caprice 0,7.95,1,"Apr 12, 2015",Visual novel,8bit,29093,['Drama']
